Ikaslea;Nota;Orduak
Egil 1;5,0;17
Gaizka 2;9,1;72
Julen 3;4,0;20
Eder 4;4,1;17
Asier 5;6,3;44
Andoni 6;7,0;44
Egil 7;7,3;42
Xabier 8;4,2;14
Beñat 9;7,9;50
Iker 10;6,6;37
Iker 11;4,4;16
Haizea 12;3,5;21
Saioa 13;5,6;43
Nagore 14;6,9;42
Haizea 15;6,1;57
Leire 16;5,6;32
Izaro 17;9,4;71
Mikel 18;6,7;46
Haizea 19;6,7;53
Nekane 20;5,8;44
Garazi 21;9,5;74
Ainara 22;7,8;56
Mikel 23;3,7;12
Andoni 24;4,6;10
Hodei 25;4,8;14
Naroa 26;6,2;23
Izaro 27;6,3;36
Nekane 28;4,3;18
Koldo 29;4,8;24
Oier 30;5,5;51
Arantza 31;7,8;60
Lide 32;8,6;72
Irati 33;6,7;61
Julen 34;4,0;13
Endika 35;6,6;32
Nekane 36;4,3;24
Leire 37;6,3;52
Markel 38;6,9;38
Itziar 39;7,0;45
Andoni 40;7,2;22
Unai 41;5,2;41
Egil 42;8,9;68
Nerea 43;6,2;37
Jon 44;7,1;51
Koldo 45;8,0;54
Oihane 46;8,6;71
Unai 47;6,6;66
Maddalen 48;3,5;15
Mikel 49;7,0;37
Uxue 50;6,8;37
Lide 51;6,9;53
Endika 52;6,5;39
Itziar 53;10,0;71
Nekane 54;8,6;71
Asier 55;3,8;10
Endika 56;6,0;36
Lander 57;9,1;71
Oihane 58;3,7;12
Gorka 59;6,3;36
Saioa 60;2,9;18
Nagore 61;8,8;71
Jon 62;6,7;46
Mikel 63;7,5;60
Aitor 64;6,8;53
Arantza 65;5,1;33
Jon 66;7,7;68
Gaizka 67;4,4;41
Nerea 68;7,6;61
Maddalen 69;9,5;71
Nekane 70;8,0;67
Ainhoa 71;8,3;61
Maialen 72;3,8;21
Saioa 73;5,7;48
Oihane 74;3,3;11
Enekoitz 75;3,1;12
Edurne 76;7,2;65
Julen 77;8,7;68
Asier 78;5,3;11
Oihane 79;3,3;11
Beñat 80;6,6;63
Nagore 81;4,3;10
Andoni 82;4,1;28
Irati 83;2,9;11
Iñaki 84;8,3;62
Nerea 85;7,0;53
Endika 86;5,7;41
Haizea 87;6,3;41
Maddalen 88;7,7;64
Koldo 89;9,6;65
Iñaki 90;4,5;26
Aingeru 91;6,0;47
Gaizka 92;5,2;33
Julen 93;4,2;20
Iñaki 94;5,4;25
Ane 95;6,7;68
Koldo 96;4,3;12
Itziar 97;4,8;29
Unai 98;9,0;68
Haizea 99;6,5;45
Ane 100;5,6;28
