id,data,bezeroa,hiria,produktua,kategoria,prezioa,unitateak
1,2024-10-12,Donato Godoy-Chaparro,Soria,Mini PC,Ordenagailuak,1832.69,2
2,2024-10-17,César Guerrero Vazquez,Navarra,Switch-a,Sareak,1471.83,9
3,2025-03-03,Eligia Agudo-Cuervo,Guipúzcoa,Wi-Fi egokigailua,Sareak,323.27,6
4,2024-11-30,Gastón Núñez Lamas,Toledo,Mahaigaineko ordenagailua,Ordenagailuak,1103.15,7
5,2025-10-31,Vicenta Tere Pardo Fernandez,Alicante,Mini PC,Ordenagailuak,471.98,5
6,2026-06-10,Goyo Lobo Santana,Cáceres,Mahaigaineko ordenagailua,Ordenagailuak,732.26,5
7,2025-12-12,Juanito Hierro Cárdenas,Jaén,Mahaigaineko ordenagailua,Ordenagailuak,1900.81,9
8,2026-02-05,Darío Antón Moles,Cuenca,Prozesadorea,Osagaiak,437.72,6
9,2026-01-15,Verónica Segarra Clavero,Barcelona,RAM memoria,Osagaiak,1530.71,9
10,2026-03-23,Viviana Pujol Paredes,Barcelona,Webkamera,Periferikoak,191.96,1
11,2025-01-13,Ruy Roca Bartolomé,Jaén,Mini PC,Ordenagailuak,963.67,5
12,2026-02-02,Néstor Lasa Nieto,Girona,Mahaigaineko ordenagailua,Ordenagailuak,328.58,1
13,2026-09-03,José Luis Camino Martín,Burgos,Monitorea,Periferikoak,1566.2,9
14,2025-12-05,Agustina Caparrós Parejo,Ciudad,Ordenagailu eramangarria,Ordenagailuak,498.72,2
15,2026-03-12,Ricardo Casas Castellanos,Navarra,Ordenagailu eramangarria,Ordenagailuak,547.67,10
16,2026-08-28,Priscila de Mesa,Sevilla,Wi-Fi egokigailua,Sareak,902.66,8
17,2025-03-23,Fortunato Almazán Grau,Álava,Ordenagailu eramangarria,Ordenagailuak,1454.8,1
18,2024-11-12,Tito Murillo Belda,Cuenca,Txartel grafikoa,Osagaiak,443.69,3
19,2025-03-20,Roxana Ramírez Falcón,Badajoz,Sare-kablea,Sareak,730.54,7
20,2026-06-16,Nicodemo Cabello Barrera,Toledo,Wi-Fi egokigailua,Sareak,1644.13,4
21,2025-02-09,Berta Roca Español,Lleida,RAM memoria,Osagaiak,1795.9,8
22,2024-10-30,Socorro de Bueno,Cáceres,Mahaigaineko ordenagailua,Ordenagailuak,999.61,4
23,2026-07-14,Goyo Abril Portero,Zamora,Sare-kablea,Sareak,589.54,9
24,2025-01-15,César Ambrosio Barrera Mir,Almería,Sare-kablea,Sareak,1034.67,3
25,2026-08-26,Teodoro Estevez Bayona,Soria,Ordenagailu eramangarria,Ordenagailuak,831.15,10
26,2025-11-20,Martín Bilbao Rius,Córdoba,RAM memoria,Osagaiak,1376.91,6
27,2025-04-05,Nico Marín Sebastián,Valladolid,Prozesadorea,Osagaiak,24.58,10
28,2024-11-16,José Luis Lara,Huelva,Ordenagailu eramangarria,Ordenagailuak,1805.31,6
29,2025-01-17,Ofelia del Ángel,Sevilla,Monitorea,Periferikoak,1913.84,2
30,2025-04-05,Ramiro Cortés Lladó,Pontevedra,RAM memoria,Osagaiak,1474.43,4
31,2025-09-27,Víctor Azcona-Bru,Cuenca,Teklatua,Periferikoak,12.42,3
32,2025-01-19,Mamen Roma Agustí,Asturias,Sagua,Periferikoak,1122.4,6
33,2025-08-03,Fabio Pastor Ariño,Castellón,RAM memoria,Osagaiak,1370.13,6
34,2026-09-04,Óscar Guzmán Cámara,La Rioja,Bideratzailea,Sareak,372.94,6
35,2026-05-02,Eliseo de Campoy,Alicante,Sare-kablea,Sareak,460.25,8
36,2025-05-04,Dani de Ferrando,Guipúzcoa,Monitorea,Periferikoak,1775.8,5
37,2026-01-05,Nidia Muñoz Amorós,Córdoba,Sagua,Periferikoak,1194.33,1
38,2025-12-03,Pastora Mir Rubio,Jaén,Mini PC,Ordenagailuak,394.32,1
39,2024-09-25,Noelia de Pascual,Asturias,Wi-Fi egokigailua,Sareak,1281.4,2
40,2025-09-29,Eugenia Quevedo Marqués,Cantabria,Webkamera,Periferikoak,1366.48,3
41,2025-07-17,Evaristo Madrid Gallo,Zamora,Monitorea,Periferikoak,957.56,8
42,2025-10-02,Narciso Blazquez Luz,Ávila,RAM memoria,Osagaiak,1382.39,4
43,2025-01-09,Donato Talavera Beltran,La Rioja,RAM memoria,Osagaiak,1476.89,7
44,2025-07-12,Nacio Adán Campillo,Ceuta,Switch-a,Sareak,1651.89,9
45,2024-10-30,Álvaro de Sastre,Zaragoza,Sare-kablea,Sareak,1372.67,9
46,2026-08-18,María José Vargas Roldan,Cáceres,Webkamera,Periferikoak,926.33,4
47,2026-04-06,Julieta Haro,León,Teklatua,Periferikoak,1466.36,4
48,2025-05-27,Anita de Contreras,Jaén,Sagua,Periferikoak,1451.27,2
49,2025-07-18,Josefa del Barrios,La Rioja,Sare-kablea,Sareak,1858.98,10
50,2026-06-11,Fortunata Tapia-Aguado,Granada,Mahaigaineko ordenagailua,Ordenagailuak,1752.53,9
51,2025-09-15,Isaías Torralba-Andres,Guipúzcoa,Txartel grafikoa,Osagaiak,1488.21,8
52,2026-09-09,Alba del Amores,Segovia,Txartel grafikoa,Osagaiak,282.59,3
53,2025-04-01,Cloe Sanz Morillo,Valladolid,Mahaigaineko ordenagailua,Ordenagailuak,574.96,7
54,2026-05-26,Agustina Azorin Olmo,Segovia,Teklatua,Periferikoak,1604.83,1
55,2026-08-18,Simón Almagro,Ciudad,Ordenagailu eramangarria,Ordenagailuak,974.85,2
56,2025-08-29,Rodolfo Peinado-Diez,Vizcaya,RAM memoria,Osagaiak,1980.39,2
57,2026-08-03,Nicolasa Perez-Puente,Asturias,Mini PC,Ordenagailuak,1419.8,4
58,2026-02-14,Teodoro Octavio Carrillo Armengol,Murcia,Mahaigaineko ordenagailua,Ordenagailuak,1359.47,2
59,2024-10-03,Sandra Trillo Camacho,Huesca,Webkamera,Periferikoak,1453.19,7
60,2026-03-13,Mario Tomás-Sola,Toledo,SSD diskoa,Osagaiak,665.31,2
61,2026-06-29,Remigio del Pinilla,Albacete,Webkamera,Periferikoak,1747.41,3
62,2025-02-25,Francisco Losa-Llorente,Melilla,Switch-a,Sareak,180.3,7
63,2025-11-03,Onofre del Tudela,Zamora,Bideratzailea,Sareak,195.37,4
64,2026-02-11,Natanael Luis Ángel Peinado Sáenz,Las Palmas,Wi-Fi egokigailua,Sareak,725.89,8
65,2025-05-05,Benito de Moles,Valencia,Sagua,Periferikoak,397.27,8
66,2026-03-06,María Luna,Cantabria,Monitorea,Periferikoak,470.46,3
67,2024-10-04,Begoña del Arroyo,Navarra,Monitorea,Periferikoak,1433.16,8
